id,mf,yo,we,jd
176,5.585798817,8.133333333,6.714975845,1.720588235
177,5.560846561,8.069306931,6.680851064,1.713043478
178,5.534161491,8.068493151,6.661111111,1.7109375
179,5.482889734,8.06741573,6.656534954,1.704819277
180,5.417582418,8.038961039,6.633136095,1.691823899
181,5.32244898,8.016949153,6.627906977,1.689189189
182,5.25,7.958333333,6.607407407,1.684782609
183,5.25,7.929078014,6.582822086,1.684210526
184,5.176470588,7.926315789,6.513227513,1.682926829
185,5.166666667,7.890909091,6.510948905,1.682352941
186,5.16,7.888888889,6.485074627,1.680555556
187,5.14511041,7.87755102,6.469387755,1.672727273
188,5.124542125,7.864864865,6.466237942,1.666666667
189,5.087804878,7.801526718,6.404958678,1.659090909
190,5.052631579,7.764705882,6.354545455,1.658536585
191,5.042307692,7.75308642,6.351351351,1.65625
192,5.022522523,7.743589744,6.316901408,1.655172414
193,5.015748031,7.7109375,6.311926606,1.649350649
194,5.012048193,7.702970297,6.275700935,1.64893617
195,5.011695906,7.702380952,6.263888889,1.648648649
196,5,7.581395349,6.234939759,1.646706587
197,4.994680851,7.576086957,6.103658537,1.646341463
198,4.989130435,7.546153846,6.102564103,1.641304348
199,4.986046512,7.538461538,5.991869919,1.641025641
200,4.9543379,7.467105263,5.972067039,1.637254902
201,4.939393939,7.383333333,5.960893855,1.632653061
202,4.924914676,7.271604938,5.916666667,1.631147541
203,4.924324324,7.253424658,5.912751678,1.630952381
204,4.91160221,7.233333333,5.87804878,1.62962963
205,4.909952607,7.15942029,5.869158879,1.626666667
206,4.850694444,7.14084507,5.844594595,1.626506024
207,4.848623853,7.045454545,5.835365854,1.623762376
208,4.841530055,7.04,5.755952381,1.622641509
209,4.841530055,7.03960396,5.740196078,1.621212121
210,4.832369942,7.037037037,5.709821429,1.620689655
211,4.811518325,7.03125,5.690909091,1.619047619
212,4.781553398,7.028571429,5.661073826,1.611764706
213,4.778894472,7,5.628865979,1.608108108
214,4.770348837,7,5.567164179,1.607142857
215,4.762295082,7,5.566523605,1.602564103
216,4.760869565,6.979166667,5.542857143,1.602272727
217,4.74893617,6.925531915,5.409090909,1.597826087
218,4.729411765,6.892857143,5.361111111,1.597402597
219,4.679144385,6.891891892,5.27729636,1.594594595
220,4.658959538,6.884615385,5.25,1.594405594
221,4.655172414,6.85,5.220430108,1.591304348
222,4.641304348,6.834645669,5.210300429,1.585365854
223,4.6225,6.82300885,5.206779661,1.58490566
224,4.556097561,6.785714286,5.183206107,1.583333333
225,4.552795031,6.78313253,5.18079096,1.580357143
226,4.547752809,6.778846154,5.180451128,1.578947368
227,4.529411765,6.715686275,5.167664671,1.571428571
228,4.488764045,6.706666667,5.146666667,1.571428571
229,4.485849057,6.666666667,5.079584775,1.568181818
230,4.481632653,6.651785714,5.054216867,1.567901235
231,4.468085106,6.574074074,5.003636364,1.567375887
232,4.455830389,6.55,4.986899563,1.562962963
233,4.455479452,6.533333333,4.962732919,1.56
234,4.452702703,6.5,4.9437751,1.557894737
235,4.433526012,6.41991342,4.93877551,1.555555556
236,4.43083004,6.390977444,4.90376569,1.548076923
237,4.430167598,6.383333333,4.895454545,1.547945205
238,4.419689119,6.346938776,4.890829694,1.545454545
239,4.413793103,6.328767123,4.89,1.537634409
240,4.412371134,6.324324324,4.882075472,1.534090909
241,4.402912621,6.3,4.874449339,1.533333333
242,4.371428571,6.299435028,4.858695652,1.532467532
243,4.357894737,6.289473684,4.828282828,1.53125
244,4.350649351,6.285714286,4.825791855,1.528735632
245,4.320987654,6.279069767,4.811518325,1.527777778
246,4.292035398,6.271604938,4.808080808,1.525423729
247,4.28975265,6.191011236,4.755813953,1.523809524
248,4.285067873,6.139534884,4.755196305,1.523364486
249,4.275,6.137931034,4.747747748,1.520361991
250,4.274285714,6.109375,4.738219895,1.516129032
251,4.27244582,6.081967213,4.721311475,1.513157895
252,4.263157895,6.066037736,4.637254902,1.511627907
253,4.247368421,6.043165468,4.593582888,1.509615385
254,4.21875,6.027027027,4.591160221,1.506849315
255,4.21761658,6.016260163,4.589371981,1.505617978
256,4.194444444,6,4.580985915,1.505154639
257,4.176136364,5.971428571,4.560386473,1.504424779
258,4.170403587,5.965986395,4.493036212,1.504273504
259,4.168421053,5.927710843,4.472103004,1.5
260,4.16091954,5.924731183,4.442567568,1.5
261,4.160535117,5.894736842,4.431906615,1.5
262,4.140221402,5.893203883,4.397810219,1.496240602
263,4.129807692,5.881818182,4.378504673,1.492307692
264,4.115577889,5.878378378,4.366972477,1.490196078
265,4.100478469,5.864197531,4.3625,1.488636364
266,4.091121495,5.837837838,4.346938776,1.488636364
267,4.090909091,5.837209302,4.291044776,1.485294118
268,4.059090909,5.804878049,4.289855072,1.479532164
269,4.025906736,5.762886598,4.28115942,1.477272727
270,4.025641026,5.75,4.260663507,1.473684211
271,4.010135135,5.74025974,4.242424242,1.471544715
272,4.005347594,5.738738739,4.221198157,1.469879518
273,4,5.724137931,4.220512821,1.469879518
274,3.987068966,5.695652174,4.201320132,1.465346535
275,3.985865724,5.690140845,4.175097276,1.465116279
276,3.981900452,5.68452381,4.161290323,1.463576159
277,3.945736434,5.676190476,4.146245059,1.462962963
278,3.927209705,5.666666667,4.130750605,1.460526316
279,3.916666667,5.641025641,4.125,1.456730769
